date,inflation_rate,unemployment_rate,federal_funds_rate,market_yield_10_rate,ppi_rate,gdp_pc1,gdp_invest_pc1,sp500_yoy,consumer_senti_pc1,means_0,means_1,means_2,means_3,means_4,means_5,means_6,means_7,means_8,hidden_states
1974-12-01,12.09503,7.2,8.53,7.43,20.88608,-1.94576,-10.41394,-0.2923559528387482,-6.79612,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1975-01-01,11.75214,8.1,7.13,7.5,17.14286,-2.29977,-20.29252,-0.2449891699452805,-6.79612,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1975-02-01,11.20507,8.1,6.24,7.39,14.4,-2.29977,-20.29252,-0.1429199076729878,-6.79612,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1975-03-01,10.46025,8.6,5.54,7.73,12.45059,-2.29977,-20.29252,-0.1396467687486483,0.97087,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1975-04-01,10.18711,8.8,5.49,8.23,12.7451,-1.83484,-22.35565,-0.0836397094076535,0.97087,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1975-05-01,9.25926,9.0,5.22,8.06,11.77606,-1.83484,-22.35565,0.0047834311631274,0.97087,7.1815693477344285,5.717385304155073,7.799294484332164,7.700505713962988,9.18870267040585,2.070407598541575,-0.4769781793405891,-0.009690223004487686,-10.53459124230144,2
1975-06-01,9.18367,8.8,5.55,7.86,11.53846,-1.83484,-22.35565,0.0290761308410669,17.54658,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1975-07-01,9.53347,8.6,6.1,8.06,8.7037,0.79862,-11.76295,0.1167385718043243,17.54658,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1975-08-01,8.61723,8.4,6.14,8.4,5.54562,0.79862,-11.76295,0.1274424054548264,17.54658,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1975-09-01,7.90514,8.4,6.24,8.43,6.26118,0.79862,-11.76295,0.2429338292633132,27.05882,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1975-10-01,7.64706,8.4,5.82,8.14,5.09666,2.5548,-9.84729,0.2756321230159833,27.05882,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1975-11-01,7.37864,8.3,5.22,8.05,3.65854,2.5548,-9.84729,0.2554924669581573,27.05882,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1975-12-01,7.12909,8.2,5.2,8.0,4.18848,2.5548,-9.84729,0.3224399362030652,46.875,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1976-01-01,6.69216,7.9,4.87,7.74,4.3554,6.1543,17.83164,0.3348134339710171,46.875,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1976-02-01,6.27376,7.7,4.77,7.79,4.72028,6.1543,17.83164,0.2564724371527971,46.875,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
1976-03-01,6.06061,7.6,4.84,7.73,5.44815,6.1543,17.83164,0.2057966992196644,14.42308,5.043741632397014,7.968384515480856,7.419551069224584,9.269022683848776,4.2601198839758165,4.340921969794564,10.16515478482149,0.16424824605640584,13.28064195586579,1
